MONTH,DAY_OF_MONTH,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,DEP_DELAY,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,26,499,"Buffalo, NY","Newark, NJ",-17,,,,,,
1,26,497,"Newark, NJ","San Francisco, CA",0,,,,,,
1,26,489,"Newark, NJ","Cleveland, OH",-14,,,,,,
1,26,479,"Los Angeles, CA","Newark, NJ",-10,,,,,,
1,26,475,"Newark, NJ","Atlanta, GA",-5,,,,,,
1,26,450,"West Palm Beach/Palm Beach, FL","Newark, NJ",-9,,,,,,
1,26,436,"Miami, FL","Newark, NJ",3,,,,,,
1,26,434,"Newark, NJ","Orlando, FL",-3,,,,,,
1,26,425,"Newark, NJ","Raleigh/Durham, NC",-10,,,,,,
1,26,421,"Atlanta, GA","Newark, NJ",2,,,,,,
1,26,415,"Los Angeles, CA","Newark, NJ",-7,,,,,,
1,26,414,"San Francisco, CA","Newark, NJ",-10,,,,,,
1,26,402,"Newark, NJ","Boston, MA",-8,,,,,,
1,26,380,"Newark, NJ","Orlando, FL",-3,,,,,,
1,26,375,"Newark, NJ","Fort Lauderdale, FL",0,,,,,,
1,26,371,"Orlando, FL","Newark, NJ",-3,,,,,,
1,26,365,"Jacksonville, FL","Newark, NJ",39,,6,0,0,0,24
1,26,363,"Newark, NJ","Honolulu, HI",-2,,,,,,
1,26,362,"Honolulu, HI","Newark, NJ",-10,,,,,,
1,26,356,"Atlanta, GA","Newark, NJ",-13,,,,,,
1,26,355,"Newark, NJ","Houston, TX",-4,,,,,,
1,26,343,"Boston, MA","Newark, NJ",-12,,,,,,
1,26,342,"Tampa, FL","Newark, NJ",115,,2,0,0,0,94
1,26,341,"Newark, NJ","Denver, CO",-5,,,,,,
1,26,331,"Denver, CO","Newark, NJ",-2,,,,,,
1,26,314,"Denver, CO","Newark, NJ",-9,,,,,,
1,26,309,"Newark, NJ","Rochester, NY",84,,56,0,0,0,8
1,26,295,"Fort Lauderdale, FL","Newark, NJ",-6,,,,,,
1,26,291,"Newark, NJ","Jackson, WY",-6,,,,,,
1,26,282,"Newark, NJ","Denver, CO",-2,,,,,,
1,26,280,"Newark, NJ","Boston, MA",-5,,,,,,
1,26,279,"Orlando, FL","Newark, NJ",2,,,,,,
1,26,275,"Newark, NJ","Los Angeles, CA",-7,,,,,,
1,26,247,"Atlanta, GA","Newark, NJ",-2,,,,,,
1,26,244,"Asheville, NC","Newark, NJ",-13,,,,,,
1,26,241,"Newark, NJ","Atlanta, GA",-8,,,,,,
1,26,233,"San Francisco, CA","Newark, NJ",-4,,,,,,
1,26,224,"Atlanta, GA","Newark, NJ",-8,,,,,,
1,26,212,"Newark, NJ","San Francisco, CA",0,,,,,,
1,26,212,"San Francisco, CA","Newark, NJ",-12,,,,,,
1,26,210,"Miami, FL","Newark, NJ",-1,,,,,,
1,26,208,"Houston, TX","Newark, NJ",-3,,,,,,
1,25,2415,"Newark, NJ","Portland, OR",-7,,,,,,
1,25,2414,"Newark, NJ","Atlanta, GA",-12,,,,,,
1,25,2410,"Fort Myers, FL","Newark, NJ",5,,,,,,
1,25,2408,"Knoxville, TN","Newark, NJ",-11,,,,,,
1,25,2406,"Newark, NJ","Knoxville, TN",-10,,,,,,
1,25,2402,"Jackson, WY","Newark, NJ",-3,,,,,,
1,25,2395,"Miami, FL","Newark, NJ",-7,,,,,,
1,25,2394,"Newark, NJ","Los Angeles, CA",-6,,,,,,
1,25,2391,"Salt Lake City, UT","Newark, NJ",-3,,,,,,
1,25,2384,"Newark, NJ","Fort Lauderdale, FL",-2,,,,,,
1,25,2181,"Raleigh/Durham, NC","Newark, NJ",-6,,0,0,29,0,0
1,25,2172,"Newark, NJ","Houston, TX",0,,,,,,
1,25,2153,"Newark, NJ","Burlington, VT",75,,2,0,0,0,57
1,25,2145,"Hartford, CT","Newark, NJ",-14,,,,,,
1,25,2138,"Newark, NJ","Las Vegas, NV",-5,,,,,,
1,25,2124,"Orlando, FL","Newark, NJ",-2,,,,,,
1,25,2121,"Houston, TX","Newark, NJ",-6,,,,,,
1,25,2117,"Los Angeles, CA","Newark, NJ",0,,,,,,
1,25,2062,"Newark, NJ","Boston, MA",20,,,,,,
1,25,2050,"Myrtle Beach, SC","Newark, NJ",-12,,,,,,
1,25,2047,"Boston, MA","Newark, NJ",-8,,,,,,
1,25,2041,"Newark, NJ","Denver, CO",-1,,,,,,
1,25,2041,"Los Angeles, CA","Newark, NJ",-2,,,,,,
1,25,2038,"San Jose, CA","Newark, NJ",-10,,,,,,
1,25,2037,"Newark, NJ","Houston, TX",-2,,,,,,
1,25,2030,"Rochester, NY","Newark, NJ",-13,,,,,,
1,25,2020,"Newark, NJ","Raleigh/Durham, NC",-8,,,,,,
1,25,2015,"Newark, NJ","Chicago, IL",-6,,,,,,
1,25,2006,"Newark, NJ","San Francisco, CA",-4,,,,,,
1,25,2001,"Newark, NJ","Chicago, IL",-10,,,,,,
1,25,1995,"Chicago, IL","Newark, NJ",-4,,,,,,
1,25,1992,"Newark, NJ","Washington, DC",-6,,,,,,
1,25,1986,"Dallas/Fort Worth, TX","Newark, NJ",-14,,,,,,
1,25,1983,"Newark, NJ","Tampa, FL",-2,,,,,,
1,25,1983,"Fort Myers, FL","Newark, NJ",-11,,,,,,
1,25,1980,"Orlando, FL","Newark, NJ",-9,,,,,,
1,25,1978,"Newark, NJ","San Francisco, CA",-6,,,,,,
1,25,1976,"Phoenix, AZ","Newark, NJ",-5,,,,,,
1,25,1974,"Miami, FL","Newark, NJ",-3,,,,,,
1,25,1972,"Washington, DC","Newark, NJ",-7,,0,0,27,0,0
1,25,1970,"Newark, NJ","Atlanta, GA",-4,,,,,,
1,25,1960,"Newark, NJ","Los Angeles, CA",-11,,,,,,
1,25,1960,"Los Angeles, CA","Newark, NJ",-5,,,,,,
1,25,1959,"Miami, FL","Newark, NJ",-7,,,,,,
1,25,1948,"San Francisco, CA","Newark, NJ",-8,,,,,,
1,25,1946,"Boston, MA","Newark, NJ",-9,,,,,,
1,25,1945,"Houston, TX","Newark, NJ",-7,,,,,,
1,25,1939,"Newark, NJ","Orlando, FL",-7,,,,,,
1,25,1935,"West Palm Beach/Palm Beach, FL","Newark, NJ",-12,,,,,,
1,25,1932,"Newark, NJ","Seattle, WA",-6,,,,,,
1,25,1929,"Newark, NJ","Phoenix, AZ",7,,,,,,
1,25,1928,"Boston, MA","Newark, NJ",-6,,,,,,
1,25,1923,"Newark, NJ","Miami, FL",-5,,,,,,
1,25,1923,"Santa Ana, CA","Newark, NJ",-8,,,,,,
1,25,1922,"Newark, NJ","Boston, MA",-6,,,,,,
1,25,1922,"Orlando, FL","Newark, NJ",-6,,,,,,
1,25,1921,"Atlanta, GA","Newark, NJ",0,,,,,,
1,25,1913,"Chicago, IL","Newark, NJ",-5,,,,,,
1,25,1906,"Newark, NJ","West Palm Beach/Palm Beach, FL",0,,,,,,
1,25,1905,"Fort Lauderdale, FL","Newark, NJ",-6,,,,,,
1,25,1898,"West Palm Beach/Palm Beach, FL","Newark, NJ",-1,,,,,,
1,25,1892,"Newark, NJ","Hartford, CT",-2,,,,,,
1,25,1890,"Newark, NJ","Tampa, FL",-9,,,,,,
